CSTRAT,ELAB,MEMO,READING,ESCS,GENDER,IMMIGR
0.7826,1.9347,-0.2055,501.82,-0.186,0,9999
-0.8077,-2.4098,-3.0191,476.8,1.0284,0,0
-0.0411,0.8778,0.1036,413.07,-0.0579,0,0
-1.3664,-0.2743,-0.2055,338.04,-0.6811,0,0
-1.0786,0.3277,-1.3817,525.39,-0.1664,0,0
-0.8077,-0.6208,0.1036,541.18,-0.1685,0,0
-0.0411,1.9347,-0.2055,555.37,1.5528,0,0
0.7826,0.0385,0.1036,645.08,0.9041,0,0
1.1341,-1.0185,0.395,501.66,0.5609,0,0
0.2159,0.6034,-0.5436,501.1,0.6799,0,0
-0.8077,-1.0185,0.6832,421.89,-0.5755,0,0
-0.5485,0.8778,-0.9276,527.15,0.0794,0,0
-0.2945,-0.6208,-0.9276,473.28,-0.7214,1,0
-0.5485,0.8778,-0.2055,434.28,-0.4144,1,0
1.1341,-0.2743,-0.2055,425.54,1.3244,1,0
0.2159,0.3277,1.3297,581.8,0.6071,1,0
0.4861,0.8778,-0.5436,477.65,-0.7867,1,0
-0.2945,0.0385,0.395,489.41,-0.3008,1,0
-0.0411,-0.6208,-0.9276,526.91,-0.9807,1,1
0.4861,2.7571,-0.5436,651.95,0.6151,1,0
-0.5485,0.0385,-0.9276,462.64,-0.7692,1,0
-0.2945,0.0385,-0.2055,552.17,0.4817,1,0
0.4861,-0.6208,-0.5436,691.67,-0.2199,1,0
2.504,0.0385,0.395,602.69,0.4109,1,0
-0.8077,0.8778,0.395,492.12,-0.9184,0,0
-1.0786,-0.2743,0.1036,399.68,-1.7137,0,0
-0.0411,0.8778,-0.2055,343.73,1.3443,0,0
-0.2945,0.6034,-1.3817,648.52,0.9756,0,0
-1.0786,-0.6208,-0.5436,587.6,0.279,0,0
-0.2945,-0.2743,-0.5436,573.01,-0.3299,0,0
0.7826,0.3277,0.1036,474.72,-0.117,0,0
0.2159,0.6034,1.3297,521.78,0.3578,0,0
-0.0411,0.0385,-0.5436,505.5,0.2589,0,0
-0.0411,0.6034,0.1036,546.15,0.9202,0,0
-1.0786,-1.5227,-0.5436,609.24,0.2011,0,0
1.6056,1.9347,0.6832,601.06,-0.6528,0,0
-1.0786,-0.2743,-0.5436,535.73,-0.2386,0,0
-0.0462,9999,0.0625,558.09,0.1264,0,0
-0.0411,-1.0185,0.395,527.39,-0.6159,0,0
-1.0786,-0.2743,-0.9276,589.52,0.324,0,0
-0.8077,-2.4098,-0.5436,572.04,0.3427,0,0
-0.2945,-1.0185,-0.9276,621.11,0.4796,0,0
0.2159,0.8778,0.395,538.93,-0.0879,0,0
0.2159,0.6034,-0.5436,569.49,-0.8975,1,1
